treatment,day-no,attribute,conditioned-on,majority-yes,majority-no,minority-yes,minority-no,p-value
beta-blocker,1,race,no-c-shock,82,56,13,15,0.22445571247666865
beta-blocker,2,sex,,140,62,45,19,0.9076398082306312
beta-blocker,2,sex,c-shock,9,7,5,8,0.5255989743853335
beta-blocker,2,sex,no-c-shock,131,55,40,11,0.2894346183908637
beta-blocker,2,race,,119,34,18,13,0.022817531429863668
beta-blocker,2,race,c-shock,8,7,1,2,0.6722541177077623
beta-blocker,2,race,no-c-shock,111,27,17,11,0.023768960095950708
beta-blocker,3,sex,,136,65,44,18,0.6557793733601043
beta-blocker,3,sex,c-shock,9,7,4,7,0.35367139617129745
beta-blocker,3,sex,no-c-shock,127,58,40,11,0.18600168895054175
beta-blocker,3,race,,115,37,18,13,0.04859401871739915
beta-blocker,3,race,c-shock,9,5,1,2,0.4277542687516343
beta-blocker,3,race,no-c-shock,106,32,17,11,0.07831126865607271
beta-blocker,4,sex,,98,76,34,17,0.19116430289886452
beta-blocker,4,sex,c-shock,11,5,4,4,0.4463705479687924
beta-blocker,4,sex,no-c-shock,87,71,30,13,0.09718435593368485
beta-blocker,4,race,,92,38,16,11,0.30207096973844233
beta-blocker,4,race,c-shock,9,4,2,1,0.9999694824218756
beta-blocker,4,race,no-c-shock,83,34,14,10,0.23520830077197227
beta-blocker,5,sex,,71,46,28,13,0.4204112113514486
beta-blocker,5,sex,c-shock,6,10,6,2,0.10579670504509549
beta-blocker,5,sex,no-c-shock,65,36,22,11,0.8264276979453217
beta-blocker,5,race,,67,30,14,8,0.734339499504836
beta-blocker,5,race,c-shock,7,6,2,1,0.7020428026819737
beta-blocker,5,race,no-c-shock,60,24,12,7,0.5373188858966372
beta-blocker,1-5,sex,,552,344,180,102,0.5138599221359657
beta-blocker,1-5,sex,c-shock,40,40,22,31,0.3653442701689316
beta-blocker,1-5,sex,no-c-shock,512,304,158,71,0.0841518404726078
beta-blocker,1-5,race,,479,206,80,62,0.0016511645780217595
beta-blocker,1-5,race,c-shock,37,33,7,8,0.730614561179375
beta-blocker,1-5,race,no-c-shock,442,173,73,54,0.0013693521081736691
ace-inhibitor,1,sex,,49,153,17,47,0.7252818008438408
ace-inhibitor,1,sex,c-shock,1,15,2,11,0.5365964891037245
ace-inhibitor,1,sex,no-c-shock,48,138,15,36,0.7327418632332205
ace-inhibitor,1,race,,37,116,10,21,0.3851211915292398
ace-inhibitor,1,race,c-shock,2,13,0,3,0.7504670253635134
ace-inhibitor,1,race,no-c-shock,35,103,10,18,0.2808115842957482
ace-inhibitor,2,sex,,103,99,26,38,0.15275958572548778
ace-inhibitor,2,sex,c-shock,9,7,4,9,0.1841783896088604
ace-inhibitor,2,sex,no-c-shock,94,92,22,29,0.529375703313959
ace-inhibitor,2,race,,74,79,17,14,0.5356342135619835
ace-inhibitor,2,race,c-shock,7,8,1,2,0.7558517456054702
ace-inhibitor,2,race,no-c-shock,67,71,16,12,0.5317687612263269
ace-inhibitor,3,sex,,101,100,24,38,0.12010750164698285
ace-inhibitor,3,sex,c-shock,10,6,2,9,0.02540810406208044
ace-inhibitor,3,sex,no-c-shock,91,94,22,29,0.4677815120644899
ace-inhibitor,3,race,,72,80,15,16,0.9824607730287859
ace-inhibitor,3,race,c-shock,8,6,1,2,0.5827930527752743
ace-inhibitor,3,race,no-c-shock,64,74,14,14,0.7395957869467291
ace-inhibitor,4,sex,,66,108,21,30,0.7077737162787764
ace-inhibitor,4,sex,c-shock,11,5,3,5,0.17276232652470505
ace-inhibitor,4,sex,no-c-shock,55,103,18,25,0.41995467683817966
ace-inhibitor,4,race,,58,72,11,16,0.7357487697238642
ace-inhibitor,4,race,c-shock,9,4,1,2,0.3910412041871385
ace-inhibitor,4,race,no-c-shock,49,68,10,14,0.9969744186651431
ace-inhibitor,5,sex,,43,74,17,24,0.6207998541001137
ace-inhibitor,5,sex,c-shock,7,9,3,5,0.8331300961827817
ace-inhibitor,5,sex,no-c-shock,36,65,14,19,0.5152860907744323
ace-inhibitor,5,race,,40,57,11,11,0.5721897940732338
ace-inhibitor,5,race,c-shock,6,7,2,1,0.6708738069663841
ace-inhibitor,5,race,no-c-shock,34,50,9,10,0.6069714743794498
ace-inhibitor,1-5,sex,,362,534,105,177,0.3453163575307063
ace-inhibitor,1-5,sex,c-shock,38,42,14,39,0.014992167271698494
ace-inhibitor,1-5,sex,no-c-shock,324,492,91,138,0.9999999999787779
ace-inhibitor,1-5,race,,281,404,64,78,0.3893038887528011
ace-inhibitor,1-5,race,c-shock,32,38,5,10,0.5168349020493468
