treatment,day-no,attribute,conditioned-on,majority-yes,majority-no,minority-yes,minority-no,p-value
non-narcotics,3,sex,c-shock,12,4,6,5,0.306410586364688
non-narcotics,3,sex,no-c-shock,125,60,36,15,0.6891158970871059
non-narcotics,3,race,,113,39,22,9,0.7263250196919985
non-narcotics,3,race,c-shock,10,4,3,0,0.34112637725939976
non-narcotics,3,race,no-c-shock,103,35,19,9,0.5587373380713411
non-narcotics,4,sex,,102,72,33,18,0.5717111789708116
non-narcotics,4,sex,c-shock,13,3,7,1,0.8874392728683856
non-narcotics,4,sex,no-c-shock,89,69,26,17,0.6356785243252326
non-narcotics,4,race,,88,42,18,9,0.9432972099289307
non-narcotics,4,race,c-shock,10,3,3,0,0.46323373921085925
non-narcotics,4,race,no-c-shock,78,39,15,9,0.7227787608338763
non-narcotics,5,sex,,79,38,28,13,0.9560828114322515
non-narcotics,5,sex,c-shock,9,7,6,2,0.43585412320741174
non-narcotics,5,sex,no-c-shock,70,31,22,11,0.7982301785854955
non-narcotics,5,race,,66,31,18,4,0.23221192879053434
non-narcotics,5,race,c-shock,6,7,3,0,0.12447969159751464
non-narcotics,5,race,no-c-shock,60,24,15,4,0.5598621990444493
non-narcotics,1-5,sex,,561,335,179,103,0.8031045046391495
non-narcotics,1-5,sex,c-shock,53,27,29,24,0.21778793302876942
non-narcotics,1-5,sex,no-c-shock,508,308,150,79,0.3794286009284364
non-narcotics,1-5,race,,468,217,100,42,0.640213280141036
non-narcotics,1-5,race,c-shock,41,29,13,2,0.041340218844565756
non-narcotics,1-5,race,no-c-shock,427,188,87,40,0.8520783571773574
narcotics-only,1,sex,,11,191,6,58,0.32078712882638366
narcotics-only,1,sex,c-shock,0,16,3,10,0.04662345532534863
narcotics-only,1,sex,no-c-shock,11,175,3,48,0.9999999999999432
narcotics-only,1,race,,12,141,1,30,0.4555866932331608
narcotics-only,1,race,c-shock,2,13,1,2,0.465975653397996
narcotics-only,1,race,no-c-shock,10,128,0,28,0.16453812330511322
narcotics-only,2,sex,,7,195,6,58,0.05943731791693831
narcotics-only,2,sex,c-shock,1,15,1,12,0.9984994944674541
narcotics-only,2,sex,no-c-shock,6,180,5,46,0.053451013479236656
narcotics-only,2,race,,7,146,1,30,0.9914168844084161
narcotics-only,2,race,c-shock,1,14,1,2,0.2021134877939125
narcotics-only,2,race,no-c-shock,6,132,0,28,0.3399483542445318
narcotics-only,3,sex,,5,196,6,56,0.05891820921488176
narcotics-only,3,sex,c-shock,0,16,1,10,0.2643261581209405
narcotics-only,3,sex,no-c-shock,5,180,5,46,0.03811639417444106
narcotics-only,3,race,,7,145,0,31,0.30475687476632873
narcotics-only,3,race,c-shock,1,13,0,3,0.9979095458984397
narcotics-only,3,race,no-c-shock,6,132,0,28,0.3399483542445318
narcotics-only,4,sex,,3,171,4,47,0.04369027721248512
narcotics-only,4,sex,c-shock,1,15,0,8,0.9534301757812539
narcotics-only,4,sex,no-c-shock,2,156,4,39,0.04174332114895151
narcotics-only,4,race,,6,124,0,27,0.33294108263515576
narcotics-only,4,race,c-shock,1,12,0,3,0.9963073730468768
narcotics-only,4,race,no-c-shock,5,112,0,24,0.4418362262301643
narcotics-only,5,sex,,4,113,3,38,0.3831384657539734
narcotics-only,5,sex,c-shock,2,14,1,7,1.0
narcotics-only,5,sex,no-c-shock,2,99,2,31,0.3024887551227909
narcotics-only,5,race,,7,90,0,22,0.2489402068210869
narcotics-only,5,race,c-shock,3,10,0,3,0.46323373921085953
narcotics-only,5,race,no-c-shock,4,80,0,19,0.5058948111120256
narcotics-only,1-5,sex,,30,866,25,257,0.018248262352873336
narcotics-only,1-5,sex,c-shock,4,76,6,47,0.20218064230394395
narcotics-only,1-5,sex,no-c-shock,26,790,19,210,0.016843672664591244
narcotics-only,1-5,race,,39,646,2,140,0.0701533467807706
narcotics-only,1-5,race,c-shock,8,62,2,13,0.9652545177821154
narcotics-only,1-5,race,no-c-shock,31,584,0,127,0.02534977606702578
non-narcotics-only,1,sex,,50,152,17,47,0.796109580491765
non-narcotics-only,1,sex,c-shock,5,11,3,10,0.7304700147487938
non-narcotics-only,1,sex,no-c-shock,45,141,14,37,0.6529009633069899
non-narcotics-only,1,race,,43,110,7,24,0.5952208871795136
non-narcotics-only,1,race,c-shock,4,11,2,1,0.27853468418655897
non-narcotics-only,1,race,no-c-shock,39,99,5,23,0.26614398683891677
non-narcotics-only,2,sex,,56,146,15,49,0.5949296487508691
non-narcotics-only,2,sex,c-shock,6,10,1,12,0.06990007311105757
non-narcotics-only,2,sex,no-c-shock,50,136,14,37,0.992419578125082
non-narcotics-only,2,race,,45,108,11,20,0.5436979918688716
non-narcotics-only,2,race,c-shock,4,11,1,2,0.8908920288085915
non-narcotics-only,2,race,no-c-shock,41,97,10,18,0.6022329144346978
non-narcotics-only,3,sex,,58,143,12,50,0.15158259493704854
non-narcotics-only,3,sex,c-shock,5,11,1,10,0.20277550816535955
non-narcotics-only,3,sex,no-c-shock,53,132,11,40,0.36990307381239473
non-narcotics-only,3,race,,42,110,11,20,0.46047637216551485
non-narcotics-only,3,race,c-shock,3,11,2,1,0.15101727946855534
non-narcotics-only,3,race,no-c-shock,39,99,9,19,0.7550611526819827
non-narcotics-only,4,sex,,41,133,5,46,0.03403564650994639
non-narcotics-only,4,sex,c-shock,6,10,1,7,0.2629259761998872
non-narcotics-only,4,sex,no-c-shock,35,123,4,39,0.08875030618513022
non-narcotics-only,4,race,,28,102,8,19,0.47185441473326134
non-narcotics-only,4,race,c-shock,4,9,2,1,0.39104120418713806
non-narcotics-only,4,race,no-c-shock,24,93,6,18,0.8178319747437499
non-narcotics-only,5,sex,,23,94,6,35,0.506840942931318
non-narcotics-only,5,sex,c-shock,3,13,2,6,0.8263094368845334
non-narcotics-only,5,sex,no-c-shock,20,81,4,29,0.380191540218495
non-narcotics-only,5,race,,15,82,7,15,0.08336911394816549
non-narcotics-only,5,race,c-shock,3,10,1,2,0.8348920305598614
non-narcotics-only,5,race,no-c-shock,12,72,6,13,0.0777615982409284
non-narcotics-only,1-5,sex,,228,668,55,227,0.04223827774879532
non-narcotics-only,1-5,sex,c-shock,25,55,8,45,0.03499749353307977
non-narcotics-only,1-5,sex,no-c-shock,203,613,47,182,0.1739809450671882
non-narcotics-only,1-5,race,,173,512,44,98,0.17410262198253815
non-narcotics-only,1-5,race,c-shock,18,52,8,7,0.03596261493571724
non-narcotics-only,1-5,race,no-c-shock,155,460,36,91,0.4681905229123052
combined-therapy,1,sex,,55,147,16,48,0.7336093766032417
combined-therapy,1,sex,c-shock,2,14,0,13,0.2887886389491097
combined-therapy,1,sex,no-c-shock,53,133,16,35,0.7554160874332347
combined-therapy,1,race,,42,111,12,19,0.2349130873107781
combined-therapy,1,race,c-shock,1,14,0,3,0.9972017621367881
combined-therapy,1,race,no-c-shock,41,97,12,16,0.20937509314759706
combined-therapy,2,sex,,82,120,28,36,0.6670621684820823
combined-therapy,2,sex,c-shock,6,10,6,7,0.6727919541299354
combined-therapy,2,sex,no-c-shock,76,110,22,29,0.7784860166739165
combined-therapy,2,race,,71,82,12,19,0.5333756548344242
combined-therapy,2,race,c-shock,6,9,1,2,0.9198444130567027
combined-therapy,2,race,no-c-shock,65,73,11,17,0.46476957905661637
combined-therapy,3,sex,,79,122,30,32,0.21043666165251718
combined-therapy,3,sex,c-shock,7,9,5,6,0.987325737961654
combined-therapy,3,sex,no-c-shock,72,113,25,26,0.19893911139455492
combined-therapy,3,race,,71,81,11,20,0.2633422220012813
combined-therapy,3,race,c-shock,7,7,1,2,0.6998412367071799
combined-therapy,3,race,no-c-shock,64,74,10,18,0.36055783738856534
combined-therapy,4,sex,,61,113,28,23,0.011028091762320337
combined-therapy,4,sex,c-shock,7,9,6,2,0.17212941655752953
combined-therapy,4,sex,no-c-shock,54,104,22,21,0.04248435631144143
combined-therapy,4,race,,60,70,10,17,0.4060077503689184
combined-therapy,4,race,c-shock,6,7,1,2,0.7020428026819739
combined-therapy,4,race,no-c-shock,54,63,9,15,0.5336329123804904
combined-therapy,5,sex,,56,61,22,19,0.5527773409496345
combined-therapy,5,sex,c-shock,6,10,4,4,0.6011333433561398
combined-therapy,5,sex,no-c-shock,50,51,18,15,0.6818438584387553
combined-therapy,5,race,,51,46,11,11,0.8511388751478169
combined-therapy,5,race,c-shock,3,10,2,1,0.19413812783734802
combined-therapy,5,race,no-c-shock,48,36,9,10,0.5909088770048034
combined-therapy,1-5,sex,,333,563,124,158,0.04117528676865697
combined-therapy,1-5,sex,c-shock,28,52,21,32,0.6141671619305893
combined-therapy,1-5,sex,no-c-shock,305,511,103,126,0.037801637799953824
combined-therapy,1-5,race,,295,390,56,86,0.4295851968739506
combined-therapy,1-5,race,c-shock,23,47,5,10,0.999999999963153
combined-therapy,1-5,race,no-c-shock,272,343,51,76,0.4159136510944149
